campaign_id,launch_date,channel,impressions,clicks,spend_usd,conversions,currency
CMP-1106,2025-01-07,Paid Search,40027,1407,1286.8,26,USD
CMP-1107,2024-11-12,Social,38012,685,901.83,37,USD
CMP-1108,2024-07-13,Social,33383,501,462.96,44,USD
CMP-1109,2024-07-19,Email,84366,864,815.48,38,USD
CMP-1110,2024-02-08,Email,31171,874,668.82,14,USD
CMP-1111,2024-06-13,Paid Search,84720,3754,4263.07,143,USD
CMP-1112,2024-12-12,Social,66802,2375,3454.91,37,USD
CMP-1113,2024-05-02,Display,83753,3266,4546.42,148,USD
CMP-1114,2024-09-21,Display,21750,470,605.5,41,USD
CMP-1115,2024-11-29,Social,73907,2666,3848.48,65,USD
CMP-1116,2025-01-13,Email,62557,2526,1946.68,42,USD
CMP-1117,2025-05-11,Display,41173,1583,1121.34,55,USD
CMP-1118,2024-03-24,Social,66849,2328,3083.63,75,USD
CMP-1119,2024-05-26,Paid Search,48897,1580,1571.09,130,USD
CMP-1120,2024-11-26,Display,76615,2298,3474.92,149,USD
CMP-1121,2024-10-12,Display,71495,2696,2626.68,95,USD
CMP-1122,2025-02-13,Paid Search,13047,278,286.06,10,USD
CMP-1123,2025-02-09,Display,27553,973,1003.57,40,USD
CMP-1124,2024-06-07,Paid Search,25146,284,314.94,22,USD
CMP-1125,2024-01-23,Paid Search,69586,705,594.19,23,USD
CMP-1126,2024-01-23,Display,10396,307,299.3,16,USD
CMP-1127,2024-12-08,Email,37867,1335,2014.73,22,USD
CMP-1128,2024-05-27,Email,87066,2056,2757.06,100,USD
CMP-1129,2025-06-18,Social,62171,1404,1409.66,122,USD
CMP-1130,2024-05-19,Display,65968,1839,2480.52,122,USD
CMP-1131,2024-02-17,Display,89390,1869,1314.81,75,USD
CMP-1132,2024-04-01,Display,72954,2311,2707.27,154,USD
CMP-1133,2024-04-22,Display,57110,2391,2202.47,54,USD
CMP-1134,2025-01-19,Paid Search,44058,685,741.48,22,USD
CMP-1135,2024-03-01,Display,42428,1486,1446.1,33,USD
CMP-1136,2024-07-02,Email,62130,536,607.27,39,USD
CMP-1137,2024-11-16,Email,27903,413,369.89,11,USD
CMP-1138,2025-04-28,Paid Search,59927,889,847.18,21,USD
CMP-1139,2024-11-15,Display,36139,937,995.43,81,USD
CMP-1140,2024-04-04,Display,30967,705,631.45,14,USD
CMP-1141,2025-01-29,Social,9593,310,283.29,3,USD
CMP-1142,2025-04-28,Social,60984,2285,3066.38,133,USD
CMP-1143,2024-06-10,Display,22566,825,684.97,68,USD
CMP-1144,2025-06-12,Paid Search,85488,3029,3809.11,155,USD
CMP-1145,2024-02-24,Paid Search,76956,2809,1969.75,212,USD
CMP-1146,2024-06-01,Paid Search,12803,269,337.16,14,USD
CMP-1147,2025-05-06,Display,12860,557,683.98,43,USD
CMP-1148,2024-11-06,Email,26610,623,950.13,10,USD
CMP-1149,2025-03-26,Paid Search,6878,193,226.41,4,USD
CMP-1150,2024-11-14,Social,42730,982,1179.14,88,USD
CMP-1151,2024-03-09,Social,11744,392,311.71,16,USD
CMP-1152,2025-04-17,Email,87712,2146,3170.31,143,USD
CMP-1153,2025-05-01,Paid Search,40465,1168,1299.14,12,USD
CMP-1154,2024-07-30,Paid Search,40062,1251,1931.17,87,USD
CMP-1155,2024-12-11,Display,74821,2444,2274.88,63,USD
CMP-1156,2024-04-22,Social,42594,1830,2207.95,124,USD
CMP-1157,2024-12-05,Display,52126,594,491.08,10,USD
CMP-1158,2024-07-02,Paid Search,27318,625,908.27,35,USD
CMP-1159,2024-04-02,Email,31698,291,462.3,13,USD
CMP-1160,2024-03-15,Social,57969,2451,2022.44,64,USD
CMP-1161,2024-05-31,Display,65274,1322,1415.76,14,USD
CMP-1162,2025-02-14,Social,34119,1106,1380.0,12,USD
CMP-1163,2024-12-04,Paid Search,46857,906,993.98,49,USD
CMP-1164,2024-07-28,Social,40466,1559,1949.21,35,USD
CMP-1165,2024-11-01,Paid Search,48210,1477,1716.42,82,USD
CMP-1166,2024-07-21,Paid Search,76366,3280,4147.24,84,USD
CMP-1167,2024-03-26,Paid Search,34060,874,940.2,32,USD
CMP-1168,2024-04-03,Social,36887,927,752.38,81,USD
CMP-1169,2024-05-18,Paid Search,76622,2153,2593.62,118,USD
CMP-1170,2024-09-27,Paid Search,45870,1387,1124.01,105,USD
CMP-1171,2024-10-22,Social,33570,1210,1242.42,28,USD
CMP-1172,2024-03-19,Display,6197,142,199.43,11,USD
CMP-1173,2024-05-21,Social,89980,3540,5365.93,209,USD
CMP-1174,2024-01-17,Paid Search,28153,654,477.26,34,USD
CMP-1175,2024-05-01,Display,24765,506,414.07,14,USD
CMP-1176,2024-12-06,Email,86109,3186,4299.4,232,USD
CMP-1177,2025-02-16,Display,80655,951,961.37,77,USD
CMP-1178,2025-02-20,Social,65673,2685,2999.55,221,USD
CMP-1179,2025-02-22,Display,17383,503,761.91,26,USD
CMP-1180,2025-06-21,Display,57096,2367,2340.07,34,USD
CMP-1181,2025-03-19,Display,80318,1599,2255.57,128,USD
CMP-1182,2024-03-12,Paid Search,18311,718,659.2,57,USD
CMP-1183,2024-02-23,Display,15811,434,397.21,14,USD
CMP-1184,2025-02-09,Paid Search,10970,493,669.35,39,USD
CMP-1185,2025-01-12,Display,75919,2869,2580.96,200,USD
CMP-1186,2024-05-05,Email,14918,406,331.69,32,USD
CMP-1187,2025-04-09,Email,40811,694,672.72,24,USD
CMP-1188,2024-03-05,Display,60987,2327,2460.87,89,USD
CMP-1189,2024-08-24,Email,42137,385,580.83,13,USD
CMP-1190,2025-05-25,Paid Search,63949,2590,2285.48,203,USD
CMP-1191,2024-03-01,Paid Search,43402,1692,1723.71,80,USD
CMP-1192,2024-06-25,Paid Search,71874,2256,1968.04,181,USD
CMP-1193,2024-02-21,Email,42118,1467,1440.14,120,USD
CMP-1194,2025-03-06,Paid Search,45900,1549,2391.7,70,USD
CMP-1195,2024-03-21,Paid Search,31260,1246,1007.51,81,USD
CMP-1196,2024-10-02,Paid Search,32860,872,842.28,27,USD
CMP-1197,2025-06-20,Email,79319,2148,3392.6,175,USD
CMP-1198,2024-07-03,Paid Search,38285,494,642.7,23,USD
CMP-1199,2024-03-19,Display,71245,764,1158.73,8,USD
CMP-1200,2024-10-18,Social,57502,2168,1687.68,71,USD
CMP-1201,2024-07-13,Paid Search,25505,467,557.27,11,USD
CMP-1202,2024-06-03,Email,83515,2094,2880.36,85,USD
CMP-1203,2025-05-26,Email,25579,265,370.76,21,USD
CMP-1204,2024-11-24,Display,6188,167,192.9,12,USD
CMP-1205,2025-06-17,Paid Search,79840,2941,2495.9,172,USD
CMP-1206,2024-08-28,Display,73804,2701,3802.76,197,USD
CMP-1207,2024-08-29,Social,66109,1859,2727.84,108,USD
CMP-1208,2024-09-24,Email,28543,858,1152.51,47,USD
CMP-1209,2024-07-03,Social,21898,668,833.46,49,USD
CMP-1210,2025-05-30,Display,36464,1447,1053.18,27,USD
CMP-1211,2024-07-01,Paid Search,83687,1122,1099.46,15,USD
CMP-1212,2024-11-17,Social,79161,2092,2688.35,106,USD
CMP-1213,2025-01-22,Social,34524,480,634.37,36,USD
CMP-1214,2025-04-10,Email,43392,1006,1034.15,27,USD
CMP-1215,2024-02-13,Paid Search,66164,2378,2950.32,49,USD
CMP-1216,2025-04-11,Email,2438,41,61.54,0,USD
CMP-1217,2025-02-06,Social,63851,1513,1163.25,19,USD
CMP-1218,2024-08-23,Social,35188,436,640.84,18,USD
CMP-1219,2024-03-29,Paid Search,49710,965,1497.46,80,USD
CMP-1220,2024-08-11,Email,23025,527,677.1,7,USD
CMP-1221,2024-12-17,Paid Search,62633,2493,3843.94,67,USD
CMP-1222,2025-01-22,Email,30231,709,653.58,52,USD
CMP-1223,2024-06-16,Display,28692,654,807.36,46,USD
CMP-1224,2025-04-28,Display,66253,2965,3887.93,234,USD
CMP-1225,2024-07-28,Display,56942,608,803.91,23,USD
CMP-1226,2024-10-08,Email,70013,1031,965.12,42,USD
CMP-1227,2024-08-10,Social,15554,332,278.27,28,USD
CMP-1228,2025-01-03,Paid Search,33572,1167,1769.6,13,USD
CMP-1229,2024-11-25,Display,60973,675,1008.55,24,USD
CMP-1230,2025-06-15,Email,41614,939,858.69,12,USD
CMP-1231,2024-06-03,Paid Search,6164,96,102.68,4,USD
CMP-1232,2024-05-19,Social,43138,1503,1953.23,32,USD
CMP-1233,2024-07-28,Social,72120,2478,2638.52,101,USD
CMP-1234,2024-12-30,Paid Search,15453,290,293.03,7,USD
CMP-1235,2024-02-11,Email,84626,2188,1553.98,155,USD
CMP-1236,2024-11-01,Email,30338,869,884.67,17,USD
CMP-1237,2025-01-18,Paid Search,84905,1494,2120.88,29,USD
CMP-1238,2025-05-19,Email,66213,1468,1461.2,73,USD
CMP-1239,2024-10-13,Paid Search,22787,962,848.22,68,USD
CMP-1240,2024-12-25,Paid Search,70215,803,809.14,35,USD
CMP-1241,2024-06-03,Display,78367,1372,2013.6,47,USD
CMP-1242,2024-01-24,Display,17773,381,288.28,16,USD
CMP-1243,2024-02-25,Display,66953,2633,2553.99,177,USD
CMP-1244,2024-09-16,Email,5083,47,46.59,1,USD
CMP-1245,2024-10-31,Social,89563,3656,4672.69,148,USD
CMP-1246,2024-12-15,Social,6066,177,274.02,12,USD
CMP-1247,2024-02-18,Display,82322,1924,1825.02,146,USD
CMP-1248,2025-04-05,Display,52459,493,405.38,24,USD
CMP-1249,2024-11-12,Display,49238,1255,902.33,73,USD
CMP-1250,2024-10-03,Paid Search,35836,1188,1082.38,11,USD
CMP-1251,2025-02-07,Email,33370,942,1379.16,67,USD
CMP-1252,2024-03-21,Social,36611,762,1141.25,26,USD
CMP-1253,2024-07-31,Display,22501,982,1416.0,22,USD
CMP-1254,2025-05-17,Social,50434,1177,1212.5,74,USD
CMP-1255,2025-05-25,Paid Search,86705,1493,1481.78,36,USD
CMP-1256,2025-06-10,Paid Search,10288,458,657.71,37,USD
CMP-1257,2024-11-13,Email,61189,1649,2162.38,21,USD
CMP-1258,2025-02-26,Display,9004,186,196.72,12,USD
CMP-1259,2025-02-05,Social,85201,1475,1982.63,53,USD
CMP-1260,2024-12-07,Paid Search,75889,2933,3551.05,128,USD
CMP-1261,2024-05-08,Social,23078,291,302.42,18,USD
CMP-1262,2024-08-24,Paid Search,3797,96,127.15,7,USD
CMP-1263,2024-05-16,Social,37534,882,1118.66,36,USD
CMP-1264,2024-05-22,Email,22618,777,626.69,10,USD
CMP-1265,2024-10-19,Social,72578,3248,2624.81,118,USD
CMP-1266,2024-01-28,Display,24443,533,521.42,39,USD
CMP-1267,2024-10-17,Paid Search,53338,1851,1975.7,39,USD
CMP-1268,2025-02-02,Paid Search,73558,1357,2008.35,61,USD
CMP-1269,2024-04-19,Social,65998,1584,1325.29,127,USD
CMP-1270,2024-10-03,Paid Search,37884,1179,1116.06,33,USD
CMP-1271,2025-05-08,Paid Search,49951,1418,1705.91,31,USD
CMP-1272,2024-01-08,Social,89851,979,846.1,47,USD
CMP-1273,2024-07-26,Display,65472,601,610.77,32,USD
CMP-1274,2024-02-29,Paid Search,74162,2285,3300.48,68,USD
CMP-1275,2024-07-12,Social,34713,1554,1707.66,119,USD
CMP-1276,2024-02-18,Paid Search,5510,236,279.69,15,USD
CMP-1277,2024-10-04,Social,5144,184,180.14,9,USD
CMP-1278,2024-01-11,Paid Search,10349,450,319.47,23,USD
CMP-1279,2024-09-07,Display,54333,1053,1240.68,66,USD
CMP-1280,2024-04-13,Display,54725,2138,2282.71,175,USD
CMP-1281,2024-01-25,Email,77603,1025,1016.04,69,USD
CMP-1282,2025-06-02,Social,49799,1553,1715.78,54,USD
CMP-1283,2024-03-09,Social,79883,917,918.21,63,USD
CMP-1284,2024-08-04,Email,19139,539,707.28,13,USD
CMP-1285,2024-04-18,Paid Search,20735,451,389.71,5,USD
CMP-1286,2025-02-13,Email,54868,631,981.56,48,USD
CMP-1287,2024-07-28,Email,24880,494,681.09,9,USD
CMP-1288,2024-11-25,Display,64042,2793,2507.19,119,USD
CMP-1289,2024-07-01,Social,11168,369,573.03,13,USD
CMP-1290,2024-07-06,Social,70824,3159,2632.44,191,USD
CMP-1291,2025-01-22,Email,29825,918,927.3,41,USD
CMP-1292,2025-03-10,Email,17915,698,921.96,32,USD
CMP-1293,2025-04-23,Display,52416,1391,1443.73,74,USD
CMP-1294,2024-02-13,Email,71233,2223,2450.04,127,USD
CMP-1295,2024-02-25,Social,21913,610,607.15,18,USD
CMP-1296,2024-11-16,Paid Search,63465,2831,3006.2,224,USD
CMP-1297,2024-05-09,Display,16555,275,400.45,17,USD
CMP-1298,2024-05-25,Email,15656,421,671.21,6,USD
CMP-1299,2024-02-09,Social,34861,946,959.14,25,USD
CMP-1300,2024-01-15,Display,27688,722,1130.33,20,USD
CMP-1301,2024-04-19,Display,66323,2682,2051.58,133,USD
CMP-1302,2024-02-27,Email,21892,832,716.09,30,USD
CMP-1303,2024-12-20,Paid Search,39815,491,423.99,20,USD
CMP-1304,2025-04-21,Display,11422,128,164.36,6,USD
CMP-1305,2024-11-19,Paid Search,75396,2467,2683.33,27,USD
CMP-1306,2024-12-13,Social,84537,3635,4698.06,97,USD
CMP-1307,2024-08-02,Paid Search,18781,269,328.85,3,USD
CMP-1308,2024-10-11,Email,35894,1536,1918.5,59,USD
CMP-1309,2024-07-19,Email,11046,371,505.54,14,USD
CMP-1310,2024-11-13,Display,28239,378,479.34,16,USD
CMP-1311,2025-02-22,Social,61872,801,649.79,14,USD
CMP-1312,2025-06-10,Display,32809,860,692.99,17,USD
CMP-1313,2024-10-20,Email,86980,2159,3325.55,88,USD
CMP-1314,2025-02-27,Paid Search,60773,1924,1982.4,70,USD
CMP-1315,2025-03-27,Social,40398,1312,933.38,77,USD
CMP-1316,2024-01-16,Display,51130,659,992.34,19,USD
CMP-1317,2025-03-06,Social,46770,550,820.65,39,USD
CMP-1318,2024-04-16,Email,61392,2527,1969.91,98,USD
CMP-1319,2025-01-18,Email,79361,2599,2623.65,212,USD
CMP-1320,2024-01-24,Paid Search,63497,678,578.59,34,USD
CMP-1321,2025-05-06,Email,31130,1373,2187.66,57,USD
CMP-1322,2024-08-23,Email,9536,99,110.48,4,USD
CMP-1323,2024-08-11,Paid Search,67187,1457,1207.37,60,USD
CMP-1324,2024-03-26,Email,23869,1037,1375.39,75,USD
CMP-1325,2024-09-16,Display,17687,424,356.25,16,USD
CMP-1326,2025-01-09,Email,16272,341,403.16,17,USD
CMP-1327,2024-04-23,Email,41525,1866,2253.41,28,USD
CMP-1328,2024-08-31,Paid Search,88860,1001,1162.14,33,USD
CMP-1329,2024-09-08,Paid Search,79435,1852,1386.91,50,USD
CMP-1330,2025-04-07,Paid Search,75153,891,734.08,72,USD
CMP-1331,2025-05-30,Paid Search,20868,916,1073.98,38,USD
CMP-1332,2024-05-01,Display,3403,56,79.38,1,USD
CMP-1333,2025-01-20,Paid Search,40552,1121,813.49,21,USD
CMP-1334,2024-11-03,Email,53087,1242,956.98,38,USD
CMP-1335,2024-04-24,Display,45094,1855,1638.53,165,USD
CMP-1336,2024-05-21,Email,53700,1672,1572.81,96,USD
CMP-1337,2024-08-13,Social,13069,312,352.31,12,USD
CMP-1338,2025-03-16,Social,61089,752,736.99,39,USD
CMP-1339,2024-06-16,Display,73767,1470,2112.07,94,USD
CMP-1340,2025-01-15,Email,43210,920,1431.41,47,USD
CMP-1341,2025-06-23,Display,3174,69,85.14,1,USD
CMP-1342,2024-12-31,Paid Search,49924,2178,2884.58,168,USD
CMP-1343,2024-08-02,Email,43305,640,515.91,45,USD
CMP-1344,2024-12-18,Email,14167,225,276.87,16,USD
CMP-1345,2025-03-11,Social,54729,619,752.08,11,USD
CMP-1346,2025-02-10,Paid Search,34809,701,690.92,52,USD
CMP-1347,2024-10-19,Social,9437,424,483.91,17,USD
CMP-1348,2024-03-26,Paid Search,46570,1473,1060.72,124,USD
CMP-1349,2024-08-04,Email,64805,1521,1995.06,134,USD
CMP-1350,2024-03-17,Paid Search,12939,314,432.19,12,USD
CMP-1351,2025-04-03,Display,17463,427,643.73,29,USD
CMP-1352,2024-04-28,Social,89326,3463,4643.11,229,USD
CMP-1353,2025-02-10,Social,87559,2515,3848.05,67,USD
CMP-1354,2025-02-28,Social,72297,952,1478.16,21,USD
CMP-1355,2024-10-07,Display,55425,507,552.0,20,USD
CMP-1356,2025-05-21,Display,59244,1985,2082.66,143,USD
CMP-1357,2024-04-17,Paid Search,78784,1574,1122.67,119,USD
CMP-1358,2024-12-24,Display,79516,2998,3943.47,138,USD
CMP-1359,2025-04-18,Social,78522,1057,1409.46,44,USD
CMP-1360,2024-04-02,Display,32616,1024,1040.17,43,USD
CMP-1361,2024-02-16,Social,10411,392,364.3,11,USD
CMP-1362,2024-08-06,Display,82954,863,743.68,37,USD
CMP-1363,2025-04-11,Display,65806,812,704.49,48,USD
CMP-1364,2024-11-09,Paid Search,6596,295,299.94,6,USD
CMP-1365,2025-05-16,Social,66169,900,1400.17,64,USD
CMP-1366,2024-11-05,Email,34382,1272,1140.53,32,USD
CMP-1367,2024-12-18,Email,23378,848,1038.12,69,USD
CMP-1368,2025-01-12,Social,49712,598,842.47,44,USD
CMP-1369,2024-09-28,Email,34662,736,629.46,59,USD
CMP-1370,2024-10-27,Social,35143,1010,945.72,16,USD
CMP-1371,2024-01-30,Social,38383,1646,1377.63,67,USD
CMP-1372,2024-05-14,Email,73275,2755,2332.08,192,USD
CMP-1373,2024-09-23,Social,9121,217,304.22,13,USD
CMP-1374,2024-08-27,Display,61353,2048,2070.68,55,USD
CMP-1375,2025-06-01,Social,76189,2657,3977.46,42,USD
CMP-1376,2024-04-22,Email,41626,1721,1362.7,95,USD
CMP-1377,2024-05-02,Paid Search,50158,975,1447.78,14,USD
CMP-1378,2024-03-10,Paid Search,5889,137,113.53,11,USD
CMP-1379,2025-06-17,Email,59248,1629,1410.9,84,USD
CMP-1380,2024-12-28,Display,27888,1130,894.47,23,USD
CMP-1381,2024-07-16,Email,65825,598,924.48,48,USD
CMP-1382,2024-04-01,Paid Search,41349,722,647.97,22,USD
CMP-1383,2024-06-03,Paid Search,58054,2472,1775.31,121,USD
CMP-1384,2024-11-19,Paid Search,13324,485,408.09,40,USD
CMP-1385,2024-04-21,Email,41048,1648,2573.26,19,USD
CMP-1386,2024-02-02,Paid Search,26429,884,1032.33,49,USD
CMP-1387,2024-03-26,Email,50657,532,752.65,46,USD
CMP-1388,2024-08-25,Display,47950,978,989.8,10,USD
CMP-1389,2024-09-04,Social,8267,245,287.51,9,USD
CMP-1390,2024-12-26,Display,87402,1457,2176.29,35,USD
CMP-1391,2024-06-02,Paid Search,35217,869,781.1,72,USD
CMP-1392,2024-07-08,Paid Search,87767,2683,3316.1,150,USD
CMP-1393,2024-01-23,Paid Search,42742,709,688.68,25,USD
CMP-1394,2024-07-28,Email,34490,965,743.74,68,USD
CMP-1395,2024-09-07,Display,30552,295,354.42,6,USD
CMP-1396,2024-12-31,Email,11589,517,542.05,10,USD
CMP-1397,2024-08-26,Social,29122,641,614.31,36,USD
CMP-1398,2024-03-10,Display,3813,37,27.0,3,USD
CMP-1399,2025-03-11,Paid Search,20804,218,183.96,10,USD
